iter	Passed	Remaining
416	2789	1183
417	2792	1175
418	2796	1168
419	2817	1167
420	2825	1161
421	2832	1154
422	2837	1147
423	2842	1139
424	2846	1131
425	2850	1124
426	2854	1116
427	2861	1109
428	2875	1105
429	2882	1099
430	2888	1092
431	2893	1085
432	2898	1077
433	2903	1070
434	2907	1062
435	2911	1055
436	2929	1052
437	2936	1045
438	2942	1039
439	2948	1031
440	2952	1024
441	2956	1016
442	2960	1009
443	2964	1001
444	2973	995
445	2987	991
446	2994	984
447	3000	977
448	3005	970
449	3009	963
450	3014	955
451	3018	948
452	3031	943
453	3040	937
454	3047	931
455	3053	923
456	3057	916
457	3062	909
458	3066	901
459	3070	894
460	3073	886
461	3089	882
462	3096	876
463	3102	869
464	3108	862
465	3112	855
466	3117	847
467	3121	840
468	3125	832
469	3128	825
470	3142	820
471	3150	814
472	3157	807
473	3163	800
474	3167	793
475	3172	786
476	3176	779
477	3179	771
478	3183	764
479	3199	759
480	3209	753
481	3215	747
482	3221	740
483	3226	733
484	3230	726
485	3234	718
486	3238	711
487	3241	704
488	3248	697
489	3265	693
490	3273	686
491	3279	679
492	3285	673
493	3290	666
494	3294	658
495	3298	651
496	3301	644
497	3306	637
498	3322	632
499	3330	626
500	3336	619
501	3341	612
502	3346	605
503	3350	598
504	3354	591
505	3357	583
506	3373	578
507	3383	572
508	3390	566
509	3396	559
510	3401	552
511	3405	545
512	3410	538
513	3414	531
514	3418	524
515	3435	519
516	3446	513
517	3453	506
518	3459	499
519	3464	493
520	3468	486
521	3473	479
522	3476	471
523	3480	464
524	3497	459
525	3505	453
526	3511	446
527	3516	439
528	3520	432
529	3524	425
530	3528	418
531	3532	411
532	3547	406
533	3556	399
534	3563	392
535	3568	386
536	3573	379
537	3577	372
538	3581	365
539	3585	358
540	3595	352
541	3607	346
542	3614	339
543	3619	332
544	3624	325
545	3628	319
546	3632	312
547	3636	305
548	3640	298
549	3655	292
550	3665	286
551	3672	279
552	3677	272
553	3682	265
554	3686	259
555	3690	252
556	3695	245
557	3698	238
558	3701	231
559	3719	225
560	3727	219
561	3732	212
562	3738	205
563	3742	199
564	3746	192
565	3750	185
566	3753	178
567	3764	172
568	3776	165
569	3782	159
570	3788	152
571	3793	145
572	3798	139
573	3802	132
574	3806	125
575	3810	119
576	3823	112
577	3834	106
578	3841	99
579	3847	92
580	3852	86
581	3857	79
582	3861	72
583	3865	66
584	3869	59
585	3876	52
586	3889	46
587	3896	39
588	3902	33
589	3908	26
590	3912	19
591	3916	13
592	3920	6
593	3924	0
